09045291,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045291,"Alt-Kaulsdorf 1–23
Brodauer Straße 1–3, Dorfstraße 2–8, 10–15, 17–20, 29–44, Waplitzer Straße 36/37
","Angerdorf Kaulsdorf mit Dorfkirche und Freiflächen, Vorgärten mit Einfriedungen, rückwärtigen Garten- und Hofanlagen
Gesamtanlage siehe: Alt-Kaulsdorf 1–11
Baudenkmale siehe: Alt-Kaulsdorf 13; 21; Dorfstraße, Dorfkirche; 2; 4; 5; 8; 11; 12D; 12E; 12G; 13; 14; 17; 20; 29; 30; 31; 32; 33; 34; 35; 36/37; 39; 41
",Konstituierende Bestandteile des Ensembles,52.507952,13.579976,""
09045290,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045290,"Alt-Kaulsdorf 1–11
Dorfstraße 43C–44
",Gutshof,"Wohnhaus, um 1850",52.505972,13.580549,""
09045332,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045332,"Giesestraße 33–47
Nentwigstraße 1–7
",Kath. St. Martins-Kirche mit Gemeindehaus,1929/30 von Josef Bachem,52.515099,13.6031_E,""
09045331,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045331,"Mieltschiner Straße 67
",Wasserwerk Kaulsdorf,1916,52.493445,13.586593,""
09045292,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045292,"Alt-Kaulsdorf 13
",eh. Dorfkrug „Zur Waage“,um 1835,52.505464,13.581961,""
09045294,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045294,"Alt-Kaulsdorf 19–21
",Neuapostolische Kirche,"ehem. Wirtschaftsgebäude (Scheune, zu Dorfstraße 2 gehörend)",52.505943,13.582538,""
09045296,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045296,"Alt-Kaulsdorf 43
",Wohnhaus,um 1850,52.505267,13.586913,""
09045297,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045297,"Am Baltenring 25
",Zweifamilienhaus,1932 von Edmund Dittmar,52.525057,13.600249,""
09045299,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045299,"Brodauer Straße 32
",Wohnhaus,um 1890,52.510103,13.585039,""
09045300,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045300,"Dorfstraße
",Ev. Dorfkirche mit Mauer,14.–20. Jh.,52.508215,13.580846,""
09045301,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045301,"Dorfstraße 2
",Wohnhaus mit Wirtschaftsgebäuden,"um 1870;
im 21. Jh. Kindergarten und Gemeindehaus der Johannischen Kirche; die eigentliche Kirche ist ein hofseitiger Neubau",52.506229,13.582478,""
09045303,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045303,"Dorfstraße 4
",Wohnhaus,"um 1870, Mauer, um 1910; 2012 leer",52.506872,13.582324,""
09045305,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045305,"Dorfstraße 5
",Wohnhaus,um 1740,52.507197,13.58223_,""
09045307,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045307,"Dorfstraße 8-9
",Wohnhaus mit Wirtschaftsgebäuden und Mauer,"Wohnhaus, 1887",52.50787_,13.581679_,""
09045309,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045309,"Dorfstraße 11
",Büdnerhaus,evtl. um 1870,52.508399,13.58093_,""
09045311,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045311,"Dorfstraße 12D, 12E, 12G, 13
",Wohnhaus und Wirtschaftsgebäude,"Wohnhaus, 1870 und 1890",52.508863,13.580477,""
09045312,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045312,"Dorfstraße 14
",Wohnhaus mit Nebengebäude,verm. um 1850,52.509031,13.579775,""
09045314,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045314,"Dorfstraße 17
",Wirtschaftsgebäude,um 1900 und früher (evtl. märkisches Wohnstallhaus in Rudimenten vorhanden),52.509946,13.578611,""
09045316,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009045316,"Dorfstraße 20
",Wohnhaus mit Wirtschaftsgebäuden,evtl. um 1870,52.510466,13.577481,""
