09065382,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009065382,"Alt-Lankwitz 37/39, 43
Mühlenstraße 3-5, 22, 32
","Dorflage Lankwitz mit Dorfanger
Baudenkmale siehe: Alt-Lankwitz, Dorfkirche; 37/39; 43; Mühlenstraße 5; 22; 32
",Weitere Bestandteile des Ensembles:,52.438068,13.354694,""
09065388,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009065388,"Birkbuschstraße 40-44
Teltowkanalstraße
","Kraftwerk Steglitz
Baudenkmal siehe: Birkbuschstraße 40-44
",Weitere Bestandteile des Ensembles:,52.444075,13.330283,""
09065402,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009065402,"Gallwitzallee 4/6
Paul-Schneider-Straße
","Dreifaltigkeitskirche mit Gemeindehaus
Baudenkmal siehe: Paul-Schneider-Straße, Dreifaltigkeitskirche
",Weitere Bestandteile des Ensembles:,52.435449,13.346037,""
09065413,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009065413,"Leonorenstraße 65, 70
","Rathaus Lankwitz, S-Bahnhof Lankwitz, Parkhaus
Baudenkmale siehe: Leonorenstraße, S-Bahnhof; 65; 70
","",52.438499,13.342306,""
09065423,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009065423,"Mozartstraße 32/36
",Einfamilienhäuser,Bestandteile des Ensembles:,52.439309,13.332807,""
09065433,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009065433,"Nicolaistraße 7, 8/14
","Fabrik- und Bürogebäude
Baudenkmale siehe: Nicolaistraße 7; 8/12
",Weitere Bestandteile des Ensembles:,52.444374,13.334174,""
09065392,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009065392,"Calandrellistraße 1/9
Gärtnerstraße 25–32
","Herrenhaus Correns (später Siemensvilla), Hauptgebäude, Einfamilienhaus mit Nebengebäuden, Einfriedung, Pförtnerhaus, Gärtner-und Garagenhaus, Teepavillon","1912-19 von Albert Denzel und Fritz Freymueller; Anbau Musiksaal, 1928-29 von Gustav Clemens
siehe auch: Gartendenkmal: Parkanlage der Siemensvilla
",52.438386,13.329063,""
09065396,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009065396,"Dessauerstraße 38/46
",Kleinhaus-Siedlung,1922–24 von der Gemeinnützigen Siedlung von Lankwitz eGmbH,52.427482,13.341872,""
09065400,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009065400,"Falkenhausenweg 47–75A
Hanielweg 50/52
Hohenbornweg 1–6, 7/13, 15–20
Pappritzstraße 7/41
Wichurastraße 9/15
",Wohnanlage,"ab 1937 von der Architektengemeinschaft G. A. Behrens, Friedrich Blume, Leo Lottermoser",52.422814,13.361921,""
09065419,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009065419,"Malteserstraße 113/121
","Lutherkirchhof, Kapelle, Beamtenwohnhaus, Einfriedung und Tor","1902–03 von Jürgen Kröger, Wiederaufbau 1953–56 von Andreas Doll",52.421688,13.35778_,""
09065438,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009065438,"Paul-Schneider-Straße 16/28
Gallwitzallee 15/33
Kameradenweg 2, 13/23
",Reichsbund-Kriegersiedlung,1929–31 von Willy Mühlau,52.434129,13.347697,""
09011396,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009011396,"Kaulbachstraße 62/64
Corneliusstraße 31
",Kath. St. Benedikt-Kirche,1967–68 von Paul Johannbroer,52.439941,13.341439,""
09065383,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009065383,"Alt-Lankwitz
",Dorfkirche Lankwitz,"13. Jahrhundert, Wiederaufbau 1955–56 von W. Konwiarz
Bestandteil des Ensembles: Dorflage Lankwitz mit Dorfanger",52.438873,13.35419_,""
09065384,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009065384,"Alt-Lankwitz 37/39
",Theodosius-Krankenheim,"Lehnschulzenhof 1776, Umbau 1927 von Josef Bischof
Bestandteil des Ensembles: Dorflage Lankwitz mit Dorfanger",52.438448,13.35612_,""
09065385,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009065385,"Alt-Lankwitz 43
",Hospitz Angelicum,"Villa 1875 von W. Sültmann, Wiederaufbau 1955 von Erich Glas
Bestandteil des Ensembles: Dorflage Lankwitz mit Dorfanger",52.438175,13.356977,""
09065386,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009065386,"Wiesenweg 9-10
Teltowkanalstraße 1-2
",Büro- und Fabrikgebäude,1939–41 von Paul Renner,52.442269,13.329122,""
09065387,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009065387,"Barbarastraße 9
Dillgestraße 27
",Lyzeum Lankwitz mit Festhalle,"1913–14 von Fritz Freymueller, Umbau 1953–56
heute Beethoven-Oberschule",52.433124,13.343163,""
09065389,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009065389,"Birkbuschstraße 40–44
",Kraftwerk Steglitz,"1909–11 von Hans Heinrich Müller, Umbau 1928, 1953, 1959, 1962 und 1964 von Hans Heinrich Müller und Rehmer
Bestandteil des Ensembles: Kraftwerk Steglitz",52.444275,13.330164,""
09065391,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009065391,"Bruchwitzstraße 32/36
Schulstraße 13/15
",Wohnanlage,1925–26 von Leberecht Schmidt,52.436621,13.350708,""
09065393,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009065393,"Calandrellistraße 45
",Haus Abrahamsohn,1928–29 von Martin Albrecht Punitzer,52.441365,13.337619,""
09065394,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009065394,"Corneliusstraße 2
",Einfamilienhaus,"1879 von Abesser & Kröger, Anbau 1888",52.439037,13.334389,""
09065395,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009065395,"Charlottenstraße 64
Elisabethstraße 37
",Ratswaage,"Wiegehaus mit Wohnung, 1917 von Fritz Freymüller, Umbau 1951 von Butsch",52.431818,13.333783,""
09065397,http://www.stadtentwicklung.berlin.de/cgi-bin/hidaweb/getdoc.pl?DOK_TPL=lda_doc.tpl&KEY=obj%2009065397,"Edenkobener Weg
",Edenkobener Steg und Leinpfadbrücke für Treidellokomotiven,um 1907,52.444557,13.346226,""
